Client_ID,State,Facility_Type,Monthly_Cost ,Performance_Score,Optimization_Process,Monthly_Cost_Savings ,Employees_on_Site
11861,Oyo,Data Center,241138,80.9,Security Enhancement,42826,231
10499,Edo,Data Center,273956,67.01,Space Utilization,7603,240
8952,Plateau,Retail Store,239118,88.67,Security Enhancement,18803,368
1817,Kaduna,Manufacturing Plant,367764,64.01,Space Utilization,16507,187
5949,Imo,Warehouse,310873,92.43,Security Enhancement,47242,223
6793,Yobe,Data Center,289373,99.4,Sustainable Practices,18270,495
10546,Ondo,Warehouse,352087,72.44,Preventive Maintenance,28393,43
10524,Lagos,Warehouse,300623,67.88,Space Utilization,46171,440
18631,Osun,Manufacturing Plant,378351,82.81,Security Enhancement,14099,10
19062,Kaduna,Warehouse,67973,68.91,Security Enhancement,46605,95
7775,Benue,Manufacturing Plant,320932,67.5,Security Enhancement,28337,83
10697,Kano,Manufacturing Plant,218270,94.92,Preventive Maintenance,36482,41
13469,Ebonyi,Manufacturing Plant,159566,93.62,Sustainable Practices,13146,333
4346,Ondo,Warehouse,85444,95.22,Space Utilization,25723,328
5357,Enugu,Warehouse,432018,83.92,Preventive Maintenance,35296,451
8983,Zamfara,Manufacturing Plant,430044,85.8,Security Enhancement,27670,329
15246,Imo,Data Center,273595,69.44,Space Utilization,27418,315
13492,Ekiti,Warehouse,85607,82.22,Security Enhancement,10128,326
9245,Katsina,Retail Store,190801,65.22,Space Utilization,11787,304
19209,Adamawa,Retail Store,462924,84.09,Space Utilization,21667,175
4220,Delta,Manufacturing Plant,232675,88.48,Sustainable Practices,37627,267
17496,Kaduna,Office,129934,88.87,Space Utilization,21062,383
17557,Imo,Retail Store,441422,84.94,Energy Efficiency,45234,130
11765,Sokoto,Retail Store,166432,88.31,Preventive Maintenance,10069,445
18849,Sokoto,Warehouse,415451,95.55,Sustainable Practices,12070,70
4775,Kebbi,Office,208604,75.01,Sustainable Practices,14143,450
1052,Yobe,Retail Store,423251,75.78,Space Utilization,48862,82
9560,Plateau,Office,50641,88.65,Preventive Maintenance,35698,55
993,Gombe,Warehouse,442293,77.74,Preventive Maintenance,11763,272
18986,Oyo,Retail Store,142656,67.67,Sustainable Practices,16210,468
5902,Delta,Manufacturing Plant,233011,96.52,Sustainable Practices,48338,77
6124,Taraba,Warehouse,439468,92.23,Preventive Maintenance,26223,28
3493,Delta,Data Center,375059,99.27,Sustainable Practices,22877,302
16345,Anambra,Warehouse,180047,60.3,Sustainable Practices,8746,58
2877,Benue,Data Center,193596,60.03,Security Enhancement,7771,325
11357,Cross River,Manufacturing Plant,357971,89.92,Space Utilization,12552,400
9504,Nasarawa,Warehouse,230959,79.11,Energy Efficiency,24318,336
3531,Bauchi,Warehouse,454377,61.69,Sustainable Practices,26714,21
6816,Abia,Retail Store,145647,85.28,Space Utilization,31606,247
16606,Kano,Data Center,105596,79.52,Security Enhancement,36239,147
18012,Cross River,Manufacturing Plant,97572,66.71,Space Utilization,25958,26
5768,Plateau,Data Center,105464,60.62,Energy Efficiency,22560,160
2623,Kogi,Office,264579,75.94,Security Enhancement,30856,346
11681,Adamawa,Data Center,489401,78.33,Energy Efficiency,38808,51
14242,Osun,Retail Store,386934,92.74,Energy Efficiency,8492,322
13245,Niger,Manufacturing Plant,61620,69.73,Preventive Maintenance,9704,305
11312,Anambra,Manufacturing Plant,80925,79.28,Security Enhancement,47980,313
11681,Adamawa,Office,371960,74.33,Security Enhancement,30801,292
7086,Rivers,Warehouse,147452,95.49,Sustainable Practices,7095,86
1820,Ebonyi,Manufacturing Plant,387855,91.11,Security Enhancement,23816,460
16848,Rivers,Warehouse,82045,64.45,Sustainable Practices,8445,123
16087,Adamawa,Data Center,406656,63.93,Space Utilization,6423,279
8077,Adamawa,Data Center,225123,91.89,Security Enhancement,35442,210
19255,Osun,Retail Store,461184,60.8,Energy Efficiency,9077,247
9233,Oyo,Office,148485,64.31,Sustainable Practices,9946,375
15802,Kaduna,Retail Store,420097,83.6,Space Utilization,49059,31
19904,Yobe,Data Center,307173,98.86,Energy Efficiency,25414,372
510,Ekiti,Office,373253,77.06,Security Enhancement,7685,406
1018,Jigawa,Office,429175,98.67,Energy Efficiency,36267,440
17355,Imo,Data Center,374102,69.1,Preventive Maintenance,7994,391
18212,Nasarawa,Warehouse,60249,86.09,Sustainable Practices,36253,449
2766,Imo,Retail Store,378132,68.25,Security Enhancement,12332,438
12724,Cross River,Office,64131,72.6,Energy Efficiency,29827,312
3316,Kogi,Manufacturing Plant,289232,71.71,Security Enhancement,29738,235
16808,Ondo,Manufacturing Plant,207627,68.65,Energy Efficiency,7141,221
7614,Enugu,Data Center,282098,71.85,Space Utilization,45820,431
18311,Benue,Warehouse,357124,88.37,Security Enhancement,46993,67
9723,Gombe,Manufacturing Plant,136039,69.39,Preventive Maintenance,48124,272
600,Adamawa,Warehouse,380182,86.82,Energy Efficiency,41491,202
4662,Taraba,Office,213129,69.32,Space Utilization,49628,54
10924,Kebbi,Retail Store,156167,92.96,Security Enhancement,34598,254
10668,Yobe,Retail Store,167870,72.29,Security Enhancement,49996,404
13516,Ondo,Warehouse,194599,94.14,Space Utilization,31441,498
12878,Borno,Warehouse,215205,86.68,Energy Efficiency,44997,206
2764,Ondo,Office,498848,99.73,Security Enhancement,9253,441
3723,Imo,Data Center,110675,91.22,Preventive Maintenance,35624,335
10206,Ogun,Data Center,220072,71.99,Energy Efficiency,9637,139
6150,Ebonyi,Manufacturing Plant,487474,69.71,Sustainable Practices,27538,176
8059,Imo,Retail Store,440674,72.95,Energy Efficiency,34959,225
14365,Adamawa,Office,367354,69.75,Energy Efficiency,8105,190
15557,Edo,Retail Store,438278,91.71,Sustainable Practices,44385,7
18797,Zamfara,Warehouse,312103,61.48,Energy Efficiency,43939,238
6553,Niger,Data Center,363546,69.08,Sustainable Practices,25743,393
11139,Niger,Warehouse,453912,94.64,Sustainable Practices,15922,451
10934,Kwara,Warehouse,192510,86.85,Energy Efficiency,14430,355
4583,Edo,Warehouse,356777,68.72,Space Utilization,6775,337
10904,Kogi,Retail Store,294316,65.56,Space Utilization,28957,449
10535,Anambra,Warehouse,486910,85.6,Sustainable Practices,27180,191
4145,Bauchi,Retail Store,463364,91.61,Space Utilization,24450,315
12710,Taraba,Manufacturing Plant,307059,80.79,Energy Efficiency,24196,153
13294,Edo,Data Center,82133,96.03,Preventive Maintenance,26625,201
1099,Plateau,Manufacturing Plant,400444,73.42,Sustainable Practices,30195,409
19770,Benue,Office,380102,62.52,Space Utilization,48271,40
14540,Lagos,Data Center,150992,80.13,Sustainable Practices,40489,115
7874,Zamfara,Manufacturing Plant,170423,61.14,Sustainable Practices,8500,443
5582,Plateau,Warehouse,459473,96.68,Energy Efficiency,37696,19
14685,Borno,Retail Store,111116,89.39,Security Enhancement,10511,109
8192,Benue,Office,230173,90.64,Security Enhancement,13788,89
4350,Kwara,Warehouse,59810,71.77,Preventive Maintenance,12244,8
13345,Bayelsa,Warehouse,183157,72.2,Energy Efficiency,36092,419
16090,Abia,Office,401445,99.27,Preventive Maintenance,35319,227
11353,Oyo,Manufacturing Plant,447006,79.47,Security Enhancement,7432,352
13525,Zamfara,Data Center,221403,95.94,Sustainable Practices,22554,265
4825,Kano,Warehouse,278568,97.4,Preventive Maintenance,41103,189
8136,Ogun,Manufacturing Plant,256638,88.82,Energy Efficiency,37658,346
1858,Zamfara,Retail Store,176783,70.06,Space Utilization,49172,192
6339,Yobe,Retail Store,258907,84.27,Space Utilization,28210,210
1533,Plateau,Manufacturing Plant,480704,69.3,Space Utilization,38165,361
10111,Abia,Office,301499,99.53,Preventive Maintenance,15206,99
11912,Kano,Manufacturing Plant,361007,62.3,Security Enhancement,10448,148
12781,Kebbi,Data Center,144060,66.52,Energy Efficiency,39135,444
11648,Ekiti,Warehouse,238260,79.08,Energy Efficiency,8128,452
7777,Nasarawa,Data Center,286127,68.43,Preventive Maintenance,13061,351
10394,Ondo,Retail Store,390573,70.61,Space Utilization,16445,144
7932,Jigawa,Data Center,383281,77.77,Security Enhancement,16379,254
7100,Ebonyi,Retail Store,316704,95.12,Security Enhancement,30545,185
1988,Edo,Data Center,406996,97.31,Energy Efficiency,25190,249
262,Kogi,Data Center,476335,69.99,Space Utilization,34296,21
3429,Zamfara,Office,379073,88.28,Security Enhancement,48910,340
12016,Plateau,Retail Store,293406,72.83,Sustainable Practices,9269,380
16589,Oyo,Data Center,414373,94.57,Space Utilization,24863,481
3723,Kwara,Retail Store,286396,68.12,Security Enhancement,30749,35
9276,Lagos,Data Center,123267,94.08,Space Utilization,34237,358
18148,Yobe,Office,97403,71.39,Sustainable Practices,40579,419
19522,Niger,Retail Store,361270,64.96,Energy Efficiency,36802,369
2125,Nasarawa,Data Center,247716,86.49,Preventive Maintenance,13562,194
3752,Lagos,Data Center,334869,92.12,Security Enhancement,5041,84
7491,Enugu,Office,245366,89.76,Security Enhancement,27277,75
4708,Kano,Warehouse,317242,75.56,Space Utilization,40846,129
12965,Sokoto,Retail Store,294206,77.73,Energy Efficiency,22422,373
15776,Gombe,Manufacturing Plant,260350,94.92,Energy Efficiency,24054,344
15704,Kwara,Retail Store,492863,91.67,Energy Efficiency,36973,404
11097,Taraba,Manufacturing Plant,321335,72.32,Energy Efficiency,30285,447
9431,Ondo,Data Center,196648,84.75,Security Enhancement,14917,271
13730,Gombe,Data Center,255251,85.53,Security Enhancement,39684,387
17592,Jigawa,Warehouse,184893,97.97,Security Enhancement,46582,243
19402,Delta,Retail Store,300446,73.07,Sustainable Practices,17844,319
5886,Oyo,Warehouse,167959,95.54,Sustainable Practices,21591,331
2961,Ekiti,Manufacturing Plant,450128,70.77,Energy Efficiency,6102,261
4812,Anambra,Data Center,493705,63.67,Security Enhancement,47362,303
5888,Abia,Data Center,467983,82.3,Energy Efficiency,39583,145
9941,Kano,Data Center,218549,62.1,Preventive Maintenance,28722,352
4651,Benue,Office,201315,96.76,Space Utilization,34210,172
16121,Taraba,Retail Store,221113,96.85,Sustainable Practices,6793,485
6838,Borno,Data Center,77435,62.19,Sustainable Practices,6171,449
16152,Delta,Data Center,336497,72.17,Sustainable Practices,45898,188
7933,Kwara,Office,474484,84.3,Sustainable Practices,46458,366
12945,Jigawa,Data Center,436468,91.18,Security Enhancement,21203,383
9073,Borno,Office,451600,88.63,Sustainable Practices,25972,360
14532,Taraba,Office,241155,73.89,Energy Efficiency,32722,276
5579,Bayelsa,Manufacturing Plant,181368,90.18,Energy Efficiency,9523,63
6433,Katsina,Warehouse,379768,84.12,Space Utilization,34702,205
18529,Kebbi,Office,379697,65.99,Security Enhancement,12195,347
2341,Akwa Ibom,Office,467310,79.41,Space Utilization,30115,493
17543,Nasarawa,Warehouse,358947,64.83,Sustainable Practices,9922,295
12297,Kebbi,Data Center,340353,91.24,Space Utilization,9540,447
9043,Katsina,Office,447882,86.61,Security Enhancement,23947,266
7329,Niger,Data Center,289813,90.45,Preventive Maintenance,19752,438
3853,Kwara,Manufacturing Plant,267880,60.37,Sustainable Practices,6445,348
8566,Akwa Ibom,Office,137553,92.96,Space Utilization,37239,35
3093,Kaduna,Warehouse,345757,63.35,Space Utilization,37239,108
19762,Ondo,Manufacturing Plant,138647,78.44,Sustainable Practices,26966,319
5948,Osun,Data Center,338882,82.06,Preventive Maintenance,7617,491
13888,Bayelsa,Data Center,456330,79.02,Preventive Maintenance,16517,447
13267,Lagos,Retail Store,351974,88.28,Preventive Maintenance,16117,399
6507,Gombe,Manufacturing Plant,69916,75.76,Security Enhancement,30433,418
8108,Zamfara,Warehouse,481098,76.83,Preventive Maintenance,18081,200
11605,Oyo,Warehouse,208189,74.15,Sustainable Practices,8862,177
13039,Osun,Warehouse,165070,74.27,Space Utilization,21480,422
12795,Kogi,Office,467584,72.77,Energy Efficiency,26051,125
6978,Rivers,Warehouse,144532,74.29,Sustainable Practices,49748,79
9164,Niger,Manufacturing Plant,73425,99.43,Sustainable Practices,22065,12
10745,Gombe,Office,140253,65.06,Security Enhancement,48375,56
6655,Taraba,Retail Store,190173,95.14,Preventive Maintenance,24721,263
7334,Ebonyi,Manufacturing Plant,378570,81.38,Preventive Maintenance,49925,322
7918,Ondo,Warehouse,132134,64.11,Energy Efficiency,8780,146
1700,Anambra,Warehouse,279114,63.32,Security Enhancement,9877,454
9437,Bayelsa,Manufacturing Plant,469135,85.11,Preventive Maintenance,42806,89
11052,Sokoto,Data Center,129397,62.9,Security Enhancement,34800,81
19825,Benue,Retail Store,228419,68.08,Space Utilization,19888,139
10306,Kwara,Office,76255,88.86,Space Utilization,20649,101
12212,Katsina,Data Center,233985,94.49,Sustainable Practices,17925,394
7804,Kebbi,Retail Store,430394,80.98,Preventive Maintenance,41553,440
10763,Edo,Data Center,331825,98.72,Security Enhancement,34581,135
17876,Ogun,Warehouse,213198,82.92,Sustainable Practices,16701,32
3467,Rivers,Retail Store,237344,60.9,Sustainable Practices,39375,370
13020,Yobe,Data Center,120555,64.78,Energy Efficiency,46459,19
2308,Edo,Warehouse,169619,98.3,Security Enhancement,36981,78
6516,Ebonyi,Manufacturing Plant,193653,93.15,Security Enhancement,23731,301
19805,Adamawa,Warehouse,255456,97.29,Space Utilization,14471,445
671,Benue,Warehouse,261876,99.34,Space Utilization,8753,150
11540,Borno,Office,326686,90.91,Preventive Maintenance,22150,461
15050,Ekiti,Data Center,286148,97.12,Energy Efficiency,5339,236
12529,Nasarawa,Data Center,390288,83.93,Preventive Maintenance,25210,266
5430,Abia,Data Center,67046,88.5,Preventive Maintenance,17030,274
15883,Kwara,Warehouse,156124,91.83,Security Enhancement,17501,306
17889,Bauchi,Retail Store,250900,76.73,Sustainable Practices,5782,437
17184,Edo,Office,460155,94.52,Sustainable Practices,22479,413
6914,Kaduna,Data Center,431154,80.9,Security Enhancement,40804,440
10549,Taraba,Retail Store,209003,81.53,Space Utilization,25977,71
15941,Yobe,Data Center,463008,89.55,Preventive Maintenance,16189,62
7469,Yobe,Retail Store,460372,71.88,Preventive Maintenance,39657,357
16921,Jigawa,Retail Store,358344,76.29,Security Enhancement,41804,392
14607,Nasarawa,Data Center,65225,85.79,Space Utilization,13051,35
426,Cross River,Manufacturing Plant,329308,81.84,Security Enhancement,5342,160
3372,Cross River,Manufacturing Plant,269237,98.43,Space Utilization,48022,30
17230,Delta,Retail Store,341999,81.31,Energy Efficiency,21968,405
4679,Kano,Manufacturing Plant,152817,72.18,Space Utilization,47856,464
11175,Kaduna,Retail Store,80267,76.75,Energy Efficiency,13890,321
17290,Kebbi,Warehouse,136117,66.96,Space Utilization,19696,245
7677,Zamfara,Data Center,306256,95.55,Preventive Maintenance,21319,325
19707,Lagos,Retail Store,470593,74.36,Space Utilization,39147,8
13871,Oyo,Manufacturing Plant,98198,62.27,Preventive Maintenance,35809,462
14608,Jigawa,Manufacturing Plant,259708,65.25,Preventive Maintenance,28647,181
19190,Bayelsa,Warehouse,362885,87.12,Security Enhancement,20445,182
7385,Enugu,Retail Store,160067,81.19,Security Enhancement,35467,134
1970,Nasarawa,Manufacturing Plant,331093,94.71,Preventive Maintenance,9070,438
2455,Delta,Office,483589,97.64,Preventive Maintenance,34449,37
9218,Benue,Warehouse,174860,62.52,Security Enhancement,48865,217
75,Kano,Retail Store,492039,66.67,Security Enhancement,22599,453
7769,Kaduna,Data Center,209976,93.82,Sustainable Practices,11899,449
3323,Katsina,Manufacturing Plant,103281,60.51,Energy Efficiency,12048,157
18311,Kaduna,Retail Store,161117,65.75,Space Utilization,7247,67
14767,Adamawa,Data Center,395444,81.15,Preventive Maintenance,22445,160
17605,Adamawa,Warehouse,121089,81.13,Energy Efficiency,11801,141
1031,Taraba,Retail Store,75055,83.81,Energy Efficiency,6474,319
900,Bauchi,Office,488272,82.73,Preventive Maintenance,19840,91
12764,Bayelsa,Warehouse,325364,81.95,Energy Efficiency,16595,261
13743,Kwara,Manufacturing Plant,318389,79.03,Security Enhancement,42382,138
2878,Nasarawa,Retail Store,230774,77.93,Preventive Maintenance,48064,225
15233,Nasarawa,Data Center,54254,91.45,Energy Efficiency,43284,47
6074,Jigawa,Retail Store,274755,90.74,Preventive Maintenance,19690,171
3582,Niger,Manufacturing Plant,60622,90.77,Security Enhancement,39002,481
19079,Ebonyi,Office,462214,99.71,Sustainable Practices,17533,178
9067,Gombe,Retail Store,233464,74.36,Energy Efficiency,31845,178
2763,Ekiti,Data Center,115437,88.14,Security Enhancement,14175,6
2600,Kwara,Retail Store,233055,92.8,Preventive Maintenance,21345,275
15846,Rivers,Retail Store,455090,63.14,Preventive Maintenance,42381,34
8461,Bauchi,Retail Store,356418,95.96,Sustainable Practices,43322,378
789,Benue,Data Center,78936,92.27,Space Utilization,45859,372
19829,Plateau,Retail Store,275747,90.83,Energy Efficiency,31617,434
15884,Lagos,Warehouse,480172,72.12,Space Utilization,44869,364
10974,Oyo,Retail Store,495803,90.11,Security Enhancement,49526,134
2720,Abia,Warehouse,273762,64.06,Sustainable Practices,40062,318
10584,Borno,Data Center,79097,94.52,Space Utilization,11147,111
5424,Cross River,Retail Store,285830,72.05,Energy Efficiency,16101,167
3340,Sokoto,Retail Store,80721,73.19,Security Enhancement,39322,15
8923,Cross River,Warehouse,229857,70.36,Energy Efficiency,48904,366
17861,Zamfara,Retail Store,461502,78.67,Space Utilization,42320,430
2509,Adamawa,Retail Store,468671,69.59,Preventive Maintenance,35222,348
4038,Gombe,Warehouse,71278,92.63,Preventive Maintenance,23974,466
4706,Rivers,Warehouse,161150,63.39,Energy Efficiency,12072,447
8833,Katsina,Manufacturing Plant,65488,77.59,Energy Efficiency,5830,211
8163,Abia,Data Center,395773,76.03,Energy Efficiency,40299,223
12673,Borno,Manufacturing Plant,390241,87.46,Preventive Maintenance,32169,474
16681,Abia,Manufacturing Plant,117972,71.84,Preventive Maintenance,36562,164
15674,Kogi,Office,195510,83.93,Energy Efficiency,11489,302
9560,Imo,Office,77053,90.56,Sustainable Practices,47032,454
3307,Kogi,Manufacturing Plant,297804,61.24,Space Utilization,14651,106
1764,Jigawa,Data Center,212400,85.01,Preventive Maintenance,13089,356
1354,Kogi,Office,421776,81.43,Security Enhancement,16021,442
9082,Ekiti,Warehouse,68343,93.31,Preventive Maintenance,22419,423
4101,Plateau,Office,76035,63.65,Space Utilization,32862,444
1838,Jigawa,Warehouse,83923,98.37,Energy Efficiency,29130,165
5806,Bauchi,Office,421690,89.61,Space Utilization,7483,216
9049,Ebonyi,Manufacturing Plant,469066,86.12,Sustainable Practices,21827,397
1318,Cross River,Data Center,448903,76.13,Security Enhancement,31549,442
19218,Ogun,Retail Store,426331,77.9,Preventive Maintenance,28831,322
14350,Ondo,Manufacturing Plant,123395,81.28,Sustainable Practices,19372,364
8941,Lagos,Data Center,90971,67.47,Sustainable Practices,41375,400
2372,Jigawa,Warehouse,351005,84.09,Security Enhancement,44647,420
10820,Nasarawa,Retail Store,145345,62.08,Energy Efficiency,10614,193
16777,Ebonyi,Retail Store,269283,93.75,Energy Efficiency,44420,148
1384,Zamfara,Manufacturing Plant,339404,61.66,Security Enhancement,16088,21
8615,Delta,Retail Store,481206,91.94,Sustainable Practices,48023,190
4822,Bauchi,Manufacturing Plant,257468,69.23,Preventive Maintenance,12857,53
18154,Plateau,Manufacturing Plant,354395,61.63,Space Utilization,29357,246
1408,Bauchi,Warehouse,366596,69.39,Preventive Maintenance,43265,402
